id_esito;codice_fiscale_stazione_appaltante;denominazione_stazione_appaltante;nr_lotto;tipo_bando;tipo_settore;oggetto_x;cpv;categoria;rup;cup;cig;data_pubb_esito_scp;luogo_esecuzione;imp_lavori;imp_contrattuale;ribasso_agg;tipo_procedura;asta_elettronica;forcella;appalto_riservato;data_pubb_esito_guue;data_pubb_guri;data_pubb_albo;url_profilo_comm;data_agg_def;termine_pres_dom_off;n_impr_rich;n_impr_inv;n_impr_off;n_impr_amm;criterio_aggiudicazione;data_pres_fine;note_agg;tipo_evento;motivazione;aggiudicatario;url;cfStrutturaProponente;denominazioneStrutturaProponente;oggetto_y;sceltaContraente;importoAggiudicazione;importoSommeLiquidate;dataInizio;dataUltimazione;jsonPartecipanti;jsonAggiudicatari;totalePartecipanti;totaleAggiudicatari;totaleRaggruppamentopartecipanti;totaleRaggruppamentoAggiudicatari;cfPrimoaggiudicatario;denominazionePrimoaggiudicatario
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N. 53/2009 - COMPLESSO SCOLASTICA DI CORSO BRAMANTE 75 - MANUTENZIONE STRAORDINARIA RECUPERO FUNZIONALE E ADEGUAMENTO NORMATIVO;45453100-8;OG2 - Restauro e manutenzione dei beni immobili sottoposti a tutela ai sensi delle disposizioni in m;PONCINI PIERLUIGI;C35J04000310004;;2009-07-23;;;;;Procedura aperta;No;No;No;;2009-05-12;2009-05-12;www.comune.torino.it/appalti;2009-07-14;2009-06-08;;;;;Prezzo più basso;2011-03-14;;Gara aggiudicata;;A.T.I. GRUPPO TECNOIMPRESE SRL;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=17650&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N.57/2009 - INTERVENTI STRAORDINARI SULLE PAVIMENTAZIONI DELLE VIE, STRADE E PIAZZE DELLA CITTA' - 12 LOTTI - BILANCIO 2008;45233140-2;OG3 - Strade, autostrade, ponti, viadotti, ferrovie, metropolitane, funicolari, piste aeroportuali e;BERTASIO ROBERTO;;;2009-08-02;;;;;Procedura aperta;No;No;No;;2009-05-03;2009-05-03;http://www.comune.torino.it/appalti;2009-07-21;2009-06-15;;;;;Prezzo più basso;2010-05-30;LOTTO N. 1 - CIRCOSCRIZIONI 1   ;Gara aggiudicata;;ANTARES SRL;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=17902&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N. 63/2009- INTERVENTI DI ORDINARIA MANUTENZIONE DEGLI EDIFICI SCOLASTICI DI OGNI GENERE SITI NELLE CIRCORSCRIZIONI 1-10 E SOGGIORNI LIGURI.;45400000-1;OG1 - Edifici civili e industriali;PONCINI PIERLUIGI;C15D09000000004;;2009-08-02;;;;;Procedura aperta;No;No;No;;2009-06-09;2009-06-09;www.comune.torino.it/appalti;2009-07-28;2009-07-06;;;;;Prezzo più basso;2010-07-30;LOTTO N. 1;Gara aggiudicata;;MAGNETTI SRL;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=17915&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N. 63/2009- INTERVENTI DI ORDINARIA MANUTENZIONE DEGLI EDIFICI SCOLASTICI DI OGNI GENERE SITI NELLE CIRCORSCRIZIONI 1-10 E SOGGIORNI LIGURI.;45400000-1;OG1 - Edifici civili e industriali;PONCINI PIERLUIGI;C15D09000000004;;2009-08-02;;;;;Procedura aperta;No;No;No;;2009-06-09;2009-06-09;www.comune.torino.it/appalti;2009-07-28;2009-07-06;;;;;Prezzo più basso;2010-07-30;LOTTO N. 2;Gara aggiudicata;;CONSORZIO CARDEA S.C.;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=17916&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N. 63/2009- INTERVENTI DI ORDINARIA MANUTENZIONE DEGLI EDIFICI SCOLASTICI DI OGNI GENERE SITI NELLE CIRCORSCRIZIONI 1-10 E SOGGIORNI LIGURI.;45400000-1;OG1 - Edifici civili e industriali;PONCINI PIERLUIGI;C15D09000000004;;2009-08-02;;;;;Procedura aperta;No;No;No;;2009-06-09;2009-06-09;www.comune.torino.it/appalti;2009-07-28;2009-07-06;;;;;Prezzo più basso;2010-07-30;LOTTO N. 3;Gara aggiudicata;;IDROTRIS di M. CHIAPATTI & C. SAS;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=17917&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N. 63/2009- INTERVENTI DI ORDINARIA MANUTENZIONE DEGLI EDIFICI SCOLASTICI DI OGNI GENERE SITI NELLE CIRCORSCRIZIONI 1-10 E SOGGIORNI LIGURI.;45400000-1;OG1 - Edifici civili e industriali;PONCINI PIERLUIGI;C15D09000000004;;2009-08-02;;;;;Procedura aperta;No;No;No;;2009-06-09;2009-06-09;www.comune.torino.it/appalti;2009-07-28;2009-07-06;;;;;Prezzo più basso;2010-07-30;LOTTO N. 4;Gara aggiudicata;;S.E.C.A.P.  S.P.A.;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=17918&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N. 63/2009- INTERVENTI DI ORDINARIA MANUTENZIONE DEGLI EDIFICI SCOLASTICI DI OGNI GENERE SITI NELLE CIRCORSCRIZIONI 1-10 E SOGGIORNI LIGURI.;45400000-1;OG1 - Edifici civili e industriali;PONCINI PIERLUIGI;C15D09000000004;;2009-08-02;;;;;Procedura aperta;No;No;No;;2009-06-09;2009-06-09;www.comune.torino.it/appalti;2009-07-28;2009-07-06;;;;;Prezzo più basso;2010-07-30;LOTTO N. 5;Gara aggiudicata;;R.P. IMPIANTI di RESSIA PIERO;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=17919&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N. 63/2009- INTERVENTI DI ORDINARIA MANUTENZIONE DEGLI EDIFICI SCOLASTICI DI OGNI GENERE SITI NELLE CIRCORSCRIZIONI 1-10 E SOGGIORNI LIGURI.;45400000-1;OG1 - Edifici civili e industriali;PONCINI PIERLUIGI;C15D09000000004;;2009-08-02;;;;;Procedura aperta;No;No;No;;2009-06-09;2009-06-09;www.comune.torino.it/appalti;2009-07-28;2009-07-06;;;;;Prezzo più basso;2010-07-30;LOTTO N. 6;Gara aggiudicata;;FIORI FRANCO EREDI SAS;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=17920&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N. 63/2009- INTERVENTI DI ORDINARIA MANUTENZIONE DEGLI EDIFICI SCOLASTICI DI OGNI GENERE SITI NELLE CIRCORSCRIZIONI 1-10 E SOGGIORNI LIGURI.;45400000-1;OG1 - Edifici civili e industriali;PONCINI PIERLUIGI;C15D09000000004;;2009-08-02;;;;;Procedura aperta;No;No;No;;2009-06-09;2009-06-09;www.comune.torino.it/appalti;2009-07-28;2009-07-06;;;;;Prezzo più basso;2010-07-30;LOTTO N. 7;Gara aggiudicata;;EIRENE SRL;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=17921&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N. 63/2009- INTERVENTI DI ORDINARIA MANUTENZIONE DEGLI EDIFICI SCOLASTICI DI OGNI GENERE SITI NELLE CIRCORSCRIZIONI 1-10 E SOGGIORNI LIGURI.;45400000-1;OG1 - Edifici civili e industriali;PONCINI PIERLUIGI;C15D09000000004;;2009-08-02;;;;;Procedura aperta;No;No;No;;2009-06-09;2009-06-09;www.comune.torino.it/appalti;2009-07-28;2009-07-06;;;;;Prezzo più basso;2010-07-30;LOTTO N. 8;Gara aggiudicata;;EDIL 98 SRL;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=17922&entita=ESITI;;;;;;;;;;;;;;;;
